,Country Name,Country Code,Indicator Name,2015,2016,2017,2018,2019
4,Aruba,ABW,GDP (current US$),2919553073.0,2965921788.0,3056424581.0,,
5,Afghanistan,AFG,GDP (current US$),19907111419.0,18017749074.0,18869945678.0,18353881130.0,19291104008.0
6,Angola,AGO,GDP (current US$),116194000000.0,101124000000.0,122124000000.0,101353000000.0,88815697793.0
7,Albania,ALB,GDP (current US$),11386846319.0,11861200797.0,13019693451.0,15147020535.0,15279183290.0
8,Andorra,AND,GDP (current US$),2789870188.0,2896679212.0,3000180750.0,3218316013.0,3154057987.0
9,Arab World,ARB,GDP (current US$),2534720000000.0,2469440000000.0,2516120000000.0,2771380000000.0,2817410000000.0
10,United Arab Emirates,ARE,GDP (current US$),358135000000.0,357045000000.0,385606000000.0,422215000000.0,421142000000.0
11,Argentina,ARG,GDP (current US$),594749000000.0,557531000000.0,643629000000.0,517627000000.0,445445000000.0
12,Armenia,ARM,GDP (current US$),10553337673.0,10546135160.0,11527458566.0,12457941907.0,13672802158.0
13,American Samoa,ASM,GDP (current US$),661000000.0,652000000.0,602000000.0,636000000.0,
14,Antigua and Barbuda,ATG,GDP (current US$),1336692593.0,1436585185.0,1467977778.0,1605351852.0,1661962963.0
15,Australia,AUS,GDP (current US$),1351690000000.0,1208850000000.0,1329190000000.0,1432880000000.0,1396570000000.0
16,Austria,AUT,GDP (current US$),381818000000.0,395569000000.0,417238000000.0,455095000000.0,445075000000.0
17,Azerbaijan,AZE,GDP (current US$),53074370486.0,37867518957.0,40865558912.0,47112941176.0,48047647059.0
18,Burundi,BDI,GDP (current US$),3104394858.0,2959640987.0,3172292379.0,3036931818.0,3012334882.0
19,Belgium,BEL,GDP (current US$),462150000000.0,475740000000.0,502698000000.0,543734000000.0,533097000000.0
20,Benin,BEN,GDP (current US$),11388160958.0,11821066153.0,12701656931.0,14250985959.0,14390709095.0
21,Burkina Faso,BFA,GDP (current US$),11832159276.0,12833363370.0,14106956830.0,16059910871.0,15990803570.0
22,Bangladesh,BGD,GDP (current US$),195079000000.0,221415000000.0,249711000000.0,274039000000.0,302571000000.0
23,Bulgaria,BGR,GDP (current US$),50647442757.0,53806894796.0,58971520599.0,66230155100.0,68558815112.0
24,Bahrain,BHR,GDP (current US$),31050638298.0,32234973404.0,35473776596.0,37652500000.0,38574069149.0
25,"Bahamas, The",BHS,GDP (current US$),11710800000.0,11928500000.0,12490700000.0,13022100000.0,13578800000.0
26,Bosnia and Herzegovina,BIH,GDP (current US$),16211541820.0,16913330694.0,18080118128.0,20183510561.0,20164193807.0
27,Belarus,BLR,GDP (current US$),56454734397.0,47722657821.0,54726595249.0,60031262269.0,63080457023.0
28,Belize,BLZ,GDP (current US$),1723800000.0,1775100000.0,1836600000.0,1871200000.0,1879613600.0
29,Bermuda,BMU,GDP (current US$),6654541000.0,6899911000.0,7142316000.0,7224329000.0,7484113000.0
30,Bolivia,BOL,GDP (current US$),33000198248.0,33941126200.0,37508642165.0,40287647930.0,40895322844.0
31,Brazil,BRA,GDP (current US$),1802210000000.0,1795700000000.0,2062830000000.0,1885480000000.0,1839760000000.0
32,Barbados,BRB,GDP (current US$),4715000000.0,4830000000.0,4978000000.0,5086500000.0,5209000000.0
33,Brunei Darussalam,BRN,GDP (current US$),12930394938.0,11400854268.0,12128104859.0,13567351175.0,13469422959.0
34,Bhutan,BTN,GDP (current US$),2003598213.0,2158972129.0,2450364928.0,2446866405.0,2530547158.0
35,Botswana,BWA,GDP (current US$),14420593484.0,15646354089.0,17405588070.0,18663265549.0,18340480936.0
36,Central African Republic,CAF,GDP (current US$),1695825708.0,1825018191.0,2072350151.0,2220978978.0,2220307369.0
37,Canada,CAN,GDP (current US$),1556130000000.0,1528240000000.0,1649880000000.0,1716260000000.0,1736430000000.0
38,Central Europe and the Baltics,CEB,GDP (current US$),1292090000000.0,1320630000000.0,1463500000000.0,1644440000000.0,1668850000000.0
39,Switzerland,CHE,GDP (current US$),679832000000.0,671309000000.0,679950000000.0,705141000000.0,703082000000.0
40,Channel Islands,CHI,GDP (current US$),,,,,
41,Chile,CHL,GDP (current US$),243919000000.0,250440000000.0,277045000000.0,298258000000.0,282318000000.0
42,China,CHN,GDP (current US$),11061600000000.0,11233300000000.0,12310400000000.0,13894800000000.0,14342900000000.0
43,Cote d'Ivoire,CIV,GDP (current US$),45814637971.0,47964234560.0,51588158718.0,58011466451.0,58539424930.0
44,Cameroon,CMR,GDP (current US$),30928653814.0,32643697596.0,35009262788.0,38694156863.0,39007354359.0
45,"Congo, Dem. Rep.",COD,GDP (current US$),37917704900.0,37134799975.0,38019265626.0,46831342213.0,50400746171.0
46,"Congo, Rep.",COG,GDP (current US$),11953249530.0,10335424288.0,11198674674.0,13518403447.0,12267392147.0
47,Colombia,COL,GDP (current US$),293482000000.0,282825000000.0,311884000000.0,333569000000.0,323616000000.0
48,Comoros,COM,GDP (current US$),966029542.0,1012835518.0,1077439663.0,1178530758.0,1165839927.0
49,Cabo Verde,CPV,GDP (current US$),1596800287.0,1662998678.0,1769787215.0,1966983317.0,1981845740.0
50,Costa Rica,CRI,GDP (current US$),54775994479.0,57157992434.0,58481858043.0,60553901420.0,61801385049.0
51,Caribbean small states,CSS,GDP (current US$),72828471571.0,69191343076.0,71452564226.0,74967267520.0,77721714918.0
52,Cuba,CUB,GDP (current US$),87133000000.0,91370000000.0,96851000000.0,100023000000.0,
53,Curacao,CUW,GDP (current US$),3151910782.0,3122287933.0,3116610112.0,3127908045.0,3101787709.0
54,Cayman Islands,CYM,GDP (current US$),4708336756.0,4909498943.0,5153091158.0,5517361238.0,
55,Cyprus,CYP,GDP (current US$),19842404305.0,20953442550.0,22729184365.0,25309818139.0,24948935408.0
56,Czech Republic,CZE,GDP (current US$),188033000000.0,196272000000.0,218629000000.0,248909000000.0,250681000000.0
57,Germany,DEU,GDP (current US$),3356240000000.0,3467500000000.0,3682600000000.0,3963770000000.0,3861120000000.0
58,Djibouti,DJI,GDP (current US$),2430287967.0,2603554907.0,2751461056.0,3012820410.0,3324634256.0
59,Dominica,DMA,GDP (current US$),540737037.0,576229629.6,519837037.0,551074074.1,582403703.7
60,Denmark,DNK,GDP (current US$),302673000000.0,313116000000.0,332121000000.0,356879000000.0,350104000000.0
61,Dominican Republic,DOM,GDP (current US$),71164825258.0,75704720190.0,79997975623.0,85555378044.0,88941299734.0
62,Algeria,DZA,GDP (current US$),166361000000.0,159995000000.0,170163000000.0,175406000000.0,171091000000.0
63,East Asia & Pacific (excluding high income),EAP,GDP (current US$),13294600000000.0,13575800000000.0,14836000000000.0,16594100000000.0,17214800000000.0
64,Early-demographic dividend,EAR,GDP (current US$),10311600000000.0,10550400000000.0,11399700000000.0,11646000000000.0,11989900000000.0
65,East Asia & Pacific,EAS,GDP (current US$),21911600000000.0,22658600000000.0,24222700000000.0,26351300000000.0,26987800000000.0
66,Europe & Central Asia (excluding high income),ECA,GDP (current US$),2916640000000.0,2773220000000.0,3114810000000.0,3192140000000.0,3248460000000.0
67,Europe & Central Asia,ECS,GDP (current US$),20450300000000.0,20388800000000.0,21610800000000.0,23145700000000.0,22792800000000.0
68,Ecuador,ECU,GDP (current US$),99290381000.0,99937696000.0,104296000000.0,107562000000.0,107436000000.0
69,"Egypt, Arab Rep.",EGY,GDP (current US$),329367000000.0,332442000000.0,235734000000.0,249713000000.0,303092000000.0
70,Euro area,EMU,GDP (current US$),11668500000000.0,11967200000000.0,12671000000000.0,13686900000000.0,13356100000000.0
71,Eritrea,ERI,GDP (current US$),,,,,
72,Spain,ESP,GDP (current US$),1195120000000.0,1232080000000.0,1312540000000.0,1422150000000.0,1393490000000.0
73,Estonia,EST,GDP (current US$),23048864243.0,24259552889.0,26951648829.0,30631142227.0,31471100656.0
74,Ethiopia,ETH,GDP (current US$),64589334979.0,74296618481.0,81770791971.0,84269348327.0,95912590628.0
